"RefDes","Value","Name"
"C1","3.3uF","CAP_0805"
"C2","0.1uF","CAP_0805"
"C3","2.5u","CAP_0805"
"C4","","CAP_0805"
"C5","","CAP_0805"
"C6","3.3uF","CAP_0805"
"C7","0.1uF","CAP_0805"
"C8","3.3uF","CAP_0805"
"C9","0.1uF","CAP_0805"
"C10","","CAP_0805"
"C11","3.3uF","CAP_0805"
"C12","0.1uF","CAP_0805"
"C13","100p","CAP_0805"
"C14","3.3uF","CAP_0805"
"C22","0.1uF","CAP_0805"
"C23","3.3uF","CAP_0805"
"C24","0.1uF","CAP_0805"
"J1","","1566230"
"J2","","1566230"
"J4","","90131-0152"
"R1","50","RES_0805"
"R2","1.47k","RES_0805"
"R3","50","RES_0805"
"R4","175","RES_0805"
"R5","450","RES_0805"
"R6","0","RES_0805"
"R7","0","RES_0805"
"R8","0","RES_0805"
"R9","0","RES_0805"
"R11","50","RES_0805"
"R12","1.47k","RES_0805"
"TP1","","TESTPOINT"
"TP2","","TESTPOINT"
"TP3","","TESTPOINT"
"TP4","","TESTPOINT"
"TP5","","TESTPOINT"
"TP6","","TESTPOINT"
"TP7","","TESTPOINT"
"TP8","","TESTPOINT"
"TP9","","TESTPOINT"
"TP10","","TESTPOINT"
"TP11","","TESTPOINT"
"TP13","","TESTPOINT"
"U1","","AMPLIFIER"
"U3","","AMPLIFIER"
"U5","","AMPLIFIER"
